id,date,new_cases,confirmed,new_deaths,total_deaths,new_reinfections,total_reinfections,new_hospital_entries,new_icu_entries,new_critical,total_critical,new_tests_combined,tests_combined,positive_rate,pos_rate_eody,total_vaccinations
1,2020-01-05,0,0,0,0,0,,,0,0,,0,0,0.00,,
2,2020-01-12,0,0,0,0,0,,,0,0,,0,0,0.00,,
3,2020-01-19,0,0,0,0,0,,,0,0,,0,0,0.00,,
4,2020-01-26,0,0,0,0,0,,,0,0,,0,0,0.00,,
5,2020-02-02,0,0,0,0,0,,,0,0,,0,0,0.00,,
6,2020-02-09,0,0,0,0,0,,,0,0,,0,0,0.00,,
7,2020-02-16,0,0,0,0,0,,,0,0,,0,0,0.00,,
8,2020-02-23,0,0,0,0,0,,,0,0,,0,0,0.00,,
9,2020-03-01,6,6,0,0,0,,,0,0,,200,200,3.00,,
10,2020-03-08,80,86,0,0,0,,,2,0,,835,1035,7.73,,
11,2020-03-15,327,413,4,4,0,,,13,0,,4679,5714,5.72,,
12,2020-03-22,381,794,13,17,0,0,,42,34,34,4211,9925,3.84,,0
13,2020-03-29,538,1332,25,42,0,0,,55,35,69,-932,8993,5.98,,0
14,2020-04-05,534,1866,35,77,0,0,,40,24,93,739,9732,5.49,,0
15,2020-04-12,289,2155,22,99,0,0,,20,-17,76,647,10379,2.78,,0
16,2020-04-19,118,2273,14,113,0,0,,17,-9,67,540,10919,1.08,,0
17,2020-04-26,303,2576,21,134,0,0,,10,-21,46,3321,14240,2.13,,0
18,2020-05-03,104,2680,10,144,0,0,,4,-9,37,4179,18419,0.56,,0
19,2020-05-10,100,2780,9,153,0,0,,4,-7,30,8434,26853,0.37,,0
20,2020-05-17,104,2884,13,166,0,0,,5,-8,22,3266,30119,0.35,,0
21,2020-05-24,47,2931,7,173,0,0,,4,-3,19,4055,34174,0.14,,0
22,2020-05-31,47,2978,6,179,0,0,,2,-6,13,-6677,27497,0.17,,0
23,2020-06-07,135,3113,3,182,0,0,,3,-13,0,4082,31579,0.43,,0
24,2020-06-14,120,3233,2,184,0,0,,8,13,13,3788,35367,0.34,,0
25,2020-06-21,114,3347,6,190,0,0,,2,-4,9,-671,34696,0.33,,0
26,2020-06-28,119,3466,1,191,0,0,,3,1,10,268,34964,0.34,,0
27,2020-07-05,204,3670,1,192,0,0,,3,1,11,8474,43438,0.47,,0
28,2020-07-12,257,3927,2,194,0,0,,4,-1,10,19555,62993,0.41,,0
29,2020-07-19,176,4103,1,195,0,0,,2,3,13,1689,64682,0.27,,0
30,2020-07-26,247,4350,7,202,0,0,,7,-4,9,-11321,53361,0.46,,0
31,2020-08-02,560,4910,6,208,0,0,,11,3,12,3902,57263,0.98,,0
32,2020-08-09,1081,5991,6,214,0,0,,16,10,22,12798,70061,1.54,,0
33,2020-08-16,1596,7587,17,231,0,0,,12,2,24,9350,79411,2.01,,0
34,2020-08-23,1664,9251,14,245,0,0,,19,7,31,2639,82050,2.03,,0
35,2020-08-30,1446,10697,20,265,0,0,,18,4,35,9017,91067,1.59,,0
36,2020-09-06,1345,12042,26,291,0,0,209,22,6,41,-3129,87938,1.53,,0
37,2020-09-13,1764,13806,20,311,0,0,260,36,13,54,8208,96146,1.83,,0
38,2020-09-20,2242,16048,37,348,0,0,342,45,24,78,-11144,85002,2.64,,0
39,2020-09-27,2193,18241,39,387,0,0,335,29,-10,68,-8623,76379,2.87,,0
40,2020-10-04,2390,20631,27,414,0,0,398,48,14,82,442,76821,3.11,,0
41,2020-10-11,2491,23122,43,457,0,0,370,40,11,93,7249,84070,2.96,,0
42,2020-10-18,3349,26471,62,519,0,0,419,34,-9,84,45691,129761,2.58,,0
43,2020-10-25,6310,32781,65,584,0,0,590,57,0,84,17827,147588,4.28,,0
