id,date,region,region_id,cases,deaths,recovered,active,tests,region_to_prefid
1,2020-02-26,"Under Investigation",GR-U,0,0,0,0,0,16
2,2020-02-27,"Under Investigation",GR-U,0,0,0,0,0,16
3,2020-02-28,"Under Investigation",GR-U,0,0,0,0,0,16
4,2020-02-29,"Under Investigation",GR-U,0,0,0,0,0,16
5,2020-03-01,"Under Investigation",GR-U,0,0,0,0,0,16
6,2020-03-02,"Under Investigation",GR-U,0,0,0,0,0,16
7,2020-03-03,"Under Investigation",GR-U,0,0,0,0,0,16
8,2020-03-04,"Under Investigation",GR-U,0,0,0,0,0,16
9,2020-03-05,"Under Investigation",GR-U,21,0,0,0,0,16
10,2020-03-06,"Under Investigation",GR-U,28,0,0,0,0,16
11,2020-03-07,"Under Investigation",GR-U,28,0,0,0,0,16
12,2020-03-08,"Under Investigation",GR-U,36,0,0,0,0,16
13,2020-03-09,"Under Investigation",GR-U,36,0,0,0,0,16
14,2020-03-10,"Under Investigation",GR-U,39,0,0,0,0,16
15,2020-03-11,"Under Investigation",GR-U,45,0,0,0,0,16
16,2020-03-12,"Under Investigation",GR-U,61,0,0,0,0,16
17,2020-03-13,"Under Investigation",GR-U,134,0,0,0,0,16
18,2020-03-14,"Under Investigation",GR-U,71,0,0,0,0,16
19,2020-03-15,"Under Investigation",GR-U,174,0,0,0,0,16
20,2020-03-16,"Under Investigation",GR-U,195,0,0,0,0,16
21,2020-03-17,"Under Investigation",GR-U,230,0,0,0,0,16
22,2020-03-18,"Under Investigation",GR-U,191,0,0,0,0,16
23,2020-03-19,"Under Investigation",GR-U,228,0,0,0,0,16
24,2020-03-20,"Under Investigation",GR-U,129,0,0,0,0,16
25,2020-03-21,"Under Investigation",GR-U,164,0,0,0,0,16
26,2020-03-22,"Under Investigation",GR-U,136,2,0,0,0,16
27,2020-03-23,"Under Investigation",GR-U,207,2,0,0,0,16
28,2020-03-24,"Under Investigation",GR-U,133,2,0,0,0,16
29,2020-03-25,"Under Investigation",GR-U,225,2,0,0,0,16
30,2020-03-26,"Under Investigation",GR-U,171,2,0,0,0,16
31,2020-03-27,"Under Investigation",GR-U,245,3,0,0,0,16
32,2020-03-28,"Under Investigation",GR-U,340,5,0,0,0,16
33,2020-03-29,"Under Investigation",GR-U,435,6,0,0,0,16
34,2020-03-30,"Under Investigation",GR-U,164,6,0,0,0,16
35,2020-03-31,"Under Investigation",GR-U,266,5,0,0,0,16
36,2020-04-01,"Under Investigation",GR-U,367,6,0,0,0,16
37,2020-04-02,"Under Investigation",GR-U,472,6,0,0,0,16
38,2020-04-03,"Under Investigation",GR-U,541,7,0,0,0,16
39,2020-04-04,"Under Investigation",GR-U,601,8,0,0,0,16
40,2020-04-05,"Under Investigation",GR-U,661,11,0,0,0,16
41,2020-04-06,"Under Investigation",GR-U,681,14,0,0,0,16
42,2020-04-07,"Under Investigation",GR-U,434,14,0,0,0,16
43,2020-04-08,"Under Investigation",GR-U,486,16,0,0,0,16
44,2020-04-09,"Under Investigation",GR-U,555,19,0,0,0,16
45,2020-04-10,"Under Investigation",GR-U,589,20,0,0,0,16
46,2020-04-11,"Under Investigation",GR-U,656,20,0,0,0,16
47,2020-04-12,"Under Investigation",GR-U,689,20,0,0,0,16
48,2020-04-13,"Under Investigation",GR-U,720,20,0,0,0,16
