id,date,category,cases,deaths,intensive
1,2020-01-25,0-17,126,0,0
2,2020-01-25,18-39,573,0,0
3,2020-01-25,40-64,735,12,1
4,2020-01-25,65+,344,54,1
5,2020-01-26,0-17,127,0,0
6,2020-01-26,18-39,577,0,0
7,2020-01-26,40-64,740,12,1
8,2020-01-26,65+,345,54,1
9,2020-04-04,0-17,24,0,0
10,2020-04-04,18-39,230,0,0
11,2020-04-04,40-64,310,1,12
12,2020-04-04,65+,138,18,7
13,2020-04-05,0-17,24,0,0
14,2020-04-05,18-39,240,0,0
15,2020-04-05,40-64,320,1,12
16,2020-04-05,65+,144,20,7
17,2020-04-06,0-17,24,0,0
18,2020-04-06,18-39,244,0,0
19,2020-04-06,40-64,324,2,11
20,2020-04-06,65+,145,20,6
21,2020-04-07,0-17,25,0,0
22,2020-04-07,18-39,249,0,0
23,2020-04-07,40-64,342,2,12
24,2020-04-07,65+,150,21,6
25,2020-04-08,0-17,26,0,0
26,2020-04-08,18-39,243,0,0
27,2020-04-08,40-64,344,2,12
28,2020-04-08,65+,158,21,5
29,2020-04-09,0-17,26,0,0
30,2020-04-09,18-39,254,0,0
31,2020-04-09,40-64,360,2,10
32,2020-04-09,65+,163,21,5
33,2020-04-10,0-17,35,0,0
34,2020-04-10,18-39,265,0,0
35,2020-04-10,40-64,366,3,9
36,2020-04-10,65+,164,23,4
37,2020-04-11,0-17,38,0,0
38,2020-04-11,18-39,275,0,0
39,2020-04-11,40-64,378,3,11
40,2020-04-11,65+,170,23,3
41,2020-04-13,0-17,41,0,1
42,2020-04-13,18-39,285,0,0
43,2020-04-13,40-64,388,3,10
44,2020-04-13,65+,184,23,5
45,2020-04-14,0-17,41,0,1
46,2020-04-14,18-39,287,0,0
47,2020-04-14,40-64,397,3,9
48,2020-04-14,65+,188,24,6
49,2020-04-15,0-17,41,0,1
50,2020-04-15,18-39,288,0,0
51,2020-04-15,40-64,397,3,8
52,2020-04-15,65+,191,25,6
53,2020-04-16,0-17,43,0,1
54,2020-04-16,18-39,293,0,0
55,2020-04-16,40-64,404,4,7
56,2020-04-16,65+,194,25,5
57,2020-04-17,0-17,44,0,1
58,2020-04-17,18-39,296,0,0
59,2020-04-17,40-64,408,4,7
60,2020-04-17,65+,196,25,6
61,2020-04-18,0-17,44,0,1
62,2020-04-18,18-39,299,0,0
63,2020-04-18,40-64,410,4,7
64,2020-04-18,65+,196,25,7
65,2020-04-20,0-17,44,0,1
66,2020-04-20,18-39,300,0,0
67,2020-04-20,40-64,412,4,7
68,2020-04-20,65+,199,26,6
69,2020-04-21,0-17,44,0,1
70,2020-04-21,18-39,302,0,0
71,2020-04-21,40-64,416,4,8
72,2020-04-21,65+,198,28,7
73,2020-04-22,0-17,43,0,1
74,2020-04-22,18-39,304,0,0
75,2020-04-22,40-64,418,4,8
76,2020-04-22,65+,201,28,6
77,2020-04-23,0-17,45,0,1
78,2020-04-23,18-39,309,0,0
79,2020-04-23,40-64,429,4,8
80,2020-04-23,65+,209,28,6
81,2020-04-24,0-17,46,0,1
82,2020-04-24,18-39,315,0,0
83,2020-04-24,40-64,440,5,6
84,2020-04-24,65+,212,29,5
85,2020-04-25,0-17,49,0,1
86,2020-04-25,18-39,318,0,0
87,2020-04-25,40-64,440,5,6
88,2020-04-25,65+,214,29,6
89,2020-04-26,0-17,50,0,1
90,2020-04-26,18-39,319,0,0
91,2020-04-26,40-64,441,6,7
92,2020-04-26,65+,215,29,5
93,2020-04-27,0-17,54,0,1
94,2020-04-27,18-39,325,0,0
95,2020-04-27,40-64,440,7,6
96,2020-04-27,65+,216,29,4
97,2020-04-28,0-17,55,0,1
98,2020-04-28,18-39,330,0,0
99,2020-04-28,40-64,445,7,6
100,2020-04-28,65+,217,29,5
101,2020-04-29,0-17,55,0,1
102,2020-04-29,18-39,329,0,0
103,2020-04-29,40-64,449,7,6
104,2020-04-29,65+,216,29,5
105,2020-04-30,0-17,57,0,1
106,2020-04-30,18-39,331,0,0
107,2020-04-30,40-64,451,7,5
108,2020-04-30,65+,218,30,4
109,2020-05-01,0-17,57,0,1
110,2020-05-01,18-39,335,0,0
111,2020-05-01,40-64,453,7,4
112,2020-05-01,65+,220,30,3
113,2020-05-02,0-17,57,0,1
114,2020-05-02,18-39,338,0,0
115,2020-05-02,40-64,456,7,4
116,2020-05-02,65+,222,30,3
117,2020-05-03,0-17,57,0,1
118,2020-05-03,18-39,338,0,0
119,2020-05-03,40-64,456,7,4
120,2020-05-03,65+,223,31,3
121,2020-05-04,0-17,57,0,1
122,2020-05-04,18-39,341,0,0
123,2020-05-04,40-64,458,7,4
124,2020-05-04,65+,223,32,3
125,2020-05-05,0-17,57,0,1
126,2020-05-05,18-39,346,0,0
127,2020-05-05,40-64,456,7,4
128,2020-05-05,65+,225,32,3
129,2020-05-06,0-17,57,0,1
130,2020-05-06,18-39,349,0,0
131,2020-05-06,40-64,460,7,4
132,2020-05-06,65+,226,33,3
133,2020-05-07,0-17,57,0,1
134,2020-05-07,18-39,349,0,0
135,2020-05-07,40-64,464,7,4
136,2020-05-07,65+,227,33,3
137,2020-05-08,0-17,58,0,1
138,2020-05-08,18-39,352,0,0
139,2020-05-08,40-64,465,7,5
140,2020-05-08,65+,230,33,3
141,2020-05-09,0-17,58,0,1
142,2020-05-09,18-39,352,0,0
143,2020-05-09,40-64,469,7,5
144,2020-05-09,65+,232,33,3
145,2020-05-10,0-17,58,0,1
146,2020-05-10,18-39,354,0,0
147,2020-05-10,40-64,471,7,5
148,2020-05-10,65+,234,33,4
149,2020-05-11,0-17,57,0,1
150,2020-05-11,18-39,354,0,0
151,2020-05-11,40-64,472,7,5
152,2020-05-11,65+,238,33,6
153,2020-05-12,0-17,59,0,0
154,2020-05-12,18-39,356,0,0
155,2020-05-12,40-64,474,7,5
156,2020-05-12,65+,239,33,6
157,2020-05-13,0-17,61,0,0
158,2020-05-13,18-39,362,0,0
159,2020-05-13,40-64,478,7,4
160,2020-05-13,65+,240,34,6
161,2020-05-14,0-17,61,0,0
162,2020-05-14,18-39,365,0,0
163,2020-05-14,40-64,480,7,4
164,2020-05-14,65+,240,34,6
165,2020-05-15,0-17,67,0,0
166,2020-05-15,18-39,368,0,0
167,2020-05-15,40-64,484,8,3
168,2020-05-15,65+,240,35,7
169,2020-05-16,0-17,67,0,0
170,2020-05-16,18-39,368,0,0
171,2020-05-16,40-64,487,8,3
172,2020-05-16,65+,242,37,7
173,2020-05-17,0-17,70,0,0
174,2020-05-17,18-39,373,0,0
175,2020-05-17,40-64,491,9,2
176,2020-05-17,65+,243,37,7
177,2020-05-18,0-17,70,0,0
178,2020-05-18,18-39,373,0,0
179,2020-05-18,40-64,493,9,2
180,2020-05-18,65+,245,38,7
181,2020-05-19,0-17,70,0,0
182,2020-05-19,18-39,374,0,0
183,2020-05-19,40-64,493,9,2
184,2020-05-19,65+,245,38,7
185,2020-05-20,0-17,70,0,0
186,2020-05-20,18-39,377,0,0
187,2020-05-20,40-64,492,9,2
188,2020-05-20,65+,245,39,6
189,2020-05-21,0-17,74,0,0
190,2020-05-21,18-39,377,0,0
191,2020-05-21,40-64,492,9,2
192,2020-05-21,65+,246,40,6
193,2020-05-22,0-17,78,0,0
194,2020-05-22,18-39,384,0,0
195,2020-05-22,40-64,492,9,2
196,2020-05-22,65+,246,40,4
197,2020-05-23,0-17,78,0,0
198,2020-05-23,18-39,386,0,0
199,2020-05-23,40-64,492,9,2
200,2020-05-23,65+,246,41,5
201,2020-05-24,0-17,78,0,0
202,2020-05-24,18-39,386,0,0
203,2020-05-24,40-64,493,9,2
204,2020-05-24,65+,246,41,4
205,2020-05-25,0-17,78,0,0
206,2020-05-25,18-39,386,0,0
207,2020-05-25,40-64,494,9,2
208,2020-05-25,65+,246,42,3
209,2020-05-26,0-17,78,0,0
210,2020-05-26,18-39,386,0,0
211,2020-05-26,40-64,498,9,2
212,2020-05-26,65+,247,43,2
213,2020-05-27,0-17,80,0,0
214,2020-05-27,18-39,388,0,0
215,2020-05-27,40-64,500,9,2
216,2020-05-27,65+,246,43,2
217,2020-05-28,0-17,80,0,0
218,2020-05-28,18-39,388,0,0
219,2020-05-28,40-64,501,9,2
220,2020-05-28,65+,246,43,2
221,2020-05-29,0-17,80,0,0
222,2020-05-29,18-39,388,0,0
223,2020-05-29,40-64,503,9,3
224,2020-05-29,65+,246,43,2
225,2020-05-30,0-17,81,0,0
226,2020-05-30,18-39,389,0,0
227,2020-05-30,40-64,503,9,2
228,2020-05-30,65+,246,43,2
229,2020-05-31,0-17,81,0,0
230,2020-05-31,18-39,389,0,0
231,2020-05-31,40-64,504,9,2
232,2020-05-31,65+,246,43,2
233,2020-06-01,0-17,81,0,0
234,2020-06-01,18-39,390,0,0
235,2020-06-01,40-64,504,9,2
236,2020-06-01,65+,246,45,1
237,2020-06-02,0-17,81,0,0
238,2020-06-02,18-39,390,0,0
239,2020-06-02,40-64,505,9,2
240,2020-06-02,65+,247,45,1
241,2020-06-04,0-17,81,0,0
242,2020-06-04,18-39,395,0,0
243,2020-06-04,40-64,509,9,1
244,2020-06-04,65+,251,45,1
245,2020-06-08,0-17,87,0,0
246,2020-06-08,18-39,404,0,0
247,2020-06-08,40-64,521,10,1
248,2020-06-08,65+,258,45,3
249,2020-06-09,0-17,87,0,0
250,2020-06-09,18-39,410,0,0
251,2020-06-09,40-64,528,10,2
252,2020-06-09,65+,259,46,2
253,2020-06-10,0-17,88,0,0
254,2020-06-10,18-39,411,0,0
255,2020-06-10,40-64,529,10,3
256,2020-06-10,65+,259,46,2
257,2020-06-11,0-17,89,0,0
258,2020-06-11,18-39,417,0,0
259,2020-06-11,40-64,535,10,3
260,2020-06-11,65+,261,46,3
261,2020-06-12,0-17,89,0,0
262,2020-06-12,18-39,419,0,0
263,2020-06-12,40-64,541,10,3
264,2020-06-12,65+,262,46,2
265,2020-06-13,0-17,89,0,0
266,2020-06-13,18-39,419,0,0
267,2020-06-13,40-64,541,10,2
268,2020-06-13,65+,261,46,2
269,2020-06-14,0-17,89,0,0
270,2020-06-14,18-39,419,0,0
271,2020-06-14,40-64,541,10,2
272,2020-06-14,65+,263,46,2
273,2020-06-15,0-17,89,0,0
274,2020-06-15,18-39,421,0,0
275,2020-06-15,40-64,544,10,2
276,2020-06-15,65+,263,46,2
277,2020-06-16,0-17,89,0,0
278,2020-06-16,18-39,422,0,0
279,2020-06-16,40-64,546,10,2
280,2020-06-16,65+,268,46,2
281,2020-06-17,0-17,91,0,0
282,2020-06-17,18-39,431,0,0
283,2020-06-17,40-64,555,10,2
284,2020-06-17,65+,269,47,2
285,2020-06-18,0-17,92,0,0
286,2020-06-18,18-39,435,0,0
287,2020-06-18,40-64,560,11,1
288,2020-06-18,65+,275,47,2
289,2020-06-19,0-17,92,0,0
290,2020-06-19,18-39,438,0,0
291,2020-06-19,40-64,564,11,1
292,2020-06-19,65+,276,48,2
293,2020-06-20,0-17,92,0,0
294,2020-06-20,18-39,440,0,0
295,2020-06-20,40-64,568,11,1
296,2020-06-20,65+,277,49,1
297,2020-06-21,0-17,92,0,0
298,2020-06-21,18-39,440,0,0
299,2020-06-21,40-64,570,11,1
300,2020-06-21,65+,278,49,1
301,2020-06-22,0-17,93,0,0
302,2020-06-22,18-39,442,0,0
303,2020-06-22,40-64,575,11,1
304,2020-06-22,65+,280,49,0
305,2020-06-23,0-17,93,0,0
306,2020-06-23,18-39,444,0,0
307,2020-06-23,40-64,577,11,1
308,2020-06-23,65+,280,49,0
309,2020-06-24,0-17,93,0,0
310,2020-06-24,18-39,444,0,0
311,2020-06-24,40-64,578,11,1
312,2020-06-24,65+,281,49,0
313,2020-06-25,0-17,93,0,0
314,2020-06-25,18-39,444,0,0
315,2020-06-25,40-64,582,12,1
316,2020-06-25,65+,282,49,1
317,2020-06-26,0-17,95,0,0
318,2020-06-26,18-39,447,0,0
319,2020-06-26,40-64,585,12,2
