id,date,total_with_one_dose,total_completed,total_booster,total_vaccinations,total_persons_vaccinated
1,2020-12-28,447,0,0,447,447
2,2020-12-29,1077,0,0,1077,1077
3,2020-12-30,1722,0,0,1722,1722
4,2020-12-31,2339,0,0,2339,2339
5,2021-01-01,2603,0,0,2603,2603
6,2021-01-02,3149,0,0,3149,3149
7,2021-01-03,3869,0,0,3869,3869
8,2021-01-04,10327,0,0,10327,10327
9,2021-01-05,16631,0,0,16631,16631
10,2021-01-06,20616,0,0,20616,20616
11,2021-01-07,26445,0,0,26445,26445
12,2021-01-08,35272,0,0,35272,35272
13,2021-01-09,40427,0,0,40427,40427
14,2021-01-10,44645,0,0,44645,44645
15,2021-01-11,50045,0,0,50045,50045
16,2021-01-12,56475,0,0,56475,56475
17,2021-01-13,64932,0,0,64932,64932
18,2021-01-14,70960,0,0,70960,70960
19,2021-01-15,75412,0,0,75412,75412
20,2021-01-16,80389,2,0,80391,80391
21,2021-01-17,80389,2,0,80391,80391
22,2021-01-18,85475,423,0,85898,85898
23,2021-01-19,93382,1072,0,94454,94454
24,2021-01-20,108167,1664,0,109831,109831
25,2021-01-21,123667,2261,0,125928,125928
26,2021-01-22,141298,2579,0,143877,143877
27,2021-01-23,156966,3135,0,160101,160101
28,2021-01-24,156966,3135,0,160101,160101
29,2021-01-25,171890,8061,0,179951,179951
30,2021-01-26,184610,13145,0,197755,197755
31,2021-01-27,198161,17879,0,216040,216040
32,2021-01-28,210488,23797,0,234285,234285
33,2021-01-29,220621,32742,0,253363,253363
34,2021-01-30,232399,38888,0,271287,271287
35,2021-01-31,232399,38888,0,271287,271287
36,2021-02-01,247251,46566,0,293817,293817
37,2021-02-02,261543,54085,0,315628,315628
38,2021-02-03,276103,62019,0,338122,338122
39,2021-02-04,291259,68464,0,359723,359723
40,2021-02-05,306441,73695,0,380136,380136
41,2021-02-06,318097,79760,0,397857,397857
42,2021-02-07,318097,79760,0,397857,397857
43,2021-02-08,332812,84753,0,417565,417565
44,2021-02-09,345290,92582,0,437872,437872
45,2021-02-10,353412,106123,0,459535,459535
46,2021-02-11,360800,121616,0,482416,482416
47,2021-02-12,366749,139289,0,506038,506038
48,2021-02-13,371462,154907,0,526369,526369
49,2021-02-14,371462,154907,0,526369,526369
50,2021-02-15,386049,168696,0,554745,554745
51,2021-02-16,397840,177926,0,575766,575766
52,2021-02-17,412970,190697,0,603667,603667
53,2021-02-18,430124,203913,0,634037,634037
54,2021-02-19,449073,215274,0,664347,664347
55,2021-02-20,465842,227594,0,693436,693436
56,2021-02-21,467656,229589,0,697245,697245
57,2021-02-22,486820,243590,0,730410,730410
58,2021-02-23,505148,257476,0,762624,762624
59,2021-02-24,522510,271837,0,794347,794347
60,2021-02-25,540039,286331,0,826370,826370
61,2021-02-26,556380,300926,0,857306,857306
62,2021-02-27,572174,313647,0,885821,885821
63,2021-02-28,572174,313647,0,885821,885821
64,2021-03-01,594053,327136,0,921189,921189
65,2021-03-02,617737,339402,0,957139,957139
66,2021-03-03,643218,348191,0,991409,991409
67,2021-03-04,669152,355559,0,1024711,1024711
68,2021-03-05,697877,361427,0,1059304,1059304
69,2021-03-06,725389,366360,0,1091749,1091749
70,2021-03-07,725389,366360,0,1091749,1091749
71,2021-03-08,753637,372423,0,1126060,1126060
72,2021-03-09,780538,377848,0,1158386,1158386
73,2021-03-10,807282,383441,0,1190723,1190723
74,2021-03-11,831764,390629,0,1222393,1222393
75,2021-03-12,855154,398933,0,1254087,1254087
76,2021-03-13,877405,406067,0,1283472,1283472
77,2021-03-14,877405,406067,0,1283472,1283472
78,2021-03-15,877647,407790,0,1285437,1285437
79,2021-03-16,895924,420630,0,1316554,1316554
80,2021-03-17,915646,430089,0,1345735,1345735
81,2021-03-18,935274,440554,0,1375828,1375828
82,2021-03-19,956750,450314,0,1407064,1407064
83,2021-03-20,977050,459441,0,1436491,1436491
84,2021-03-21,977050,459441,0,1436491,1436491
85,2021-03-22,997964,471056,0,1469020,1469020
86,2021-03-23,1018675,484812,0,1503487,1503487
87,2021-03-24,1035548,501409,0,1536957,1536957
88,2021-03-25,1035664,501440,0,1537104,1537104
89,2021-03-26,1046297,526429,0,1572726,1572726
90,2021-03-27,1055750,548488,0,1604238,1604238
91,2021-03-28,1055750,548488,0,1604238,1604238
92,2021-03-29,1066880,568796,0,1635676,1635676
93,2021-03-30,1080665,588291,0,1668956,1668956
94,2021-03-31,1092640,607167,0,1699807,1699807
95,2021-04-01,1114370,624681,0,1739051,1739051
96,2021-04-02,1135593,641909,0,1777502,1777502
97,2021-04-03,1171428,658934,0,1830362,1830362
98,2021-04-04,1171428,658934,0,1830362,1830362
99,2021-04-05,1222690,663680,0,1886370,1886370
100,2021-04-06,1269946,676393,0,1946339,1946339
101,2021-04-07,1312904,690740,0,2003644,2003644
102,2021-04-08,1353965,704785,0,2058750,2058750
103,2021-04-09,1394022,720200,0,2114222,2114222
104,2021-04-10,1435513,733840,0,2169353,2169353
105,2021-04-11,1435513,733840,0,2169353,2169353
106,2021-04-12,1480489,745389,0,2225878,2225878
107,2021-04-13,1524912,756022,0,2280934,2280934
108,2021-04-14,1569569,764988,0,2334557,2334557
109,2021-04-15,1620077,767071,0,2387148,2387148
110,2021-04-16,1671334,768876,0,2440210,2440210
111,2021-04-17,1721660,770197,0,2491857,2491857
112,2021-04-18,1721660,770197,0,2491857,2491857
113,2021-04-19,1774130,772024,0,2546154,2546154
114,2021-04-20,1826628,774370,0,2600998,2600998
115,2021-04-21,1876019,776429,0,2652448,2652448
116,2021-04-22,1924640,784140,0,2708780,2708780
117,2021-04-23,1971371,793996,0,2765367,2765367
118,2021-04-24,2004522,817103,0,2821625,2821625
119,2021-04-25,2004522,817103,0,2821625,2821625
120,2021-04-26,2032100,851099,0,2883199,2883199
121,2021-04-27,2063834,881224,0,2945058,2945058
122,2021-04-28,2099353,910135,0,3009488,3009488
123,2021-04-29,2131900,943798,0,3075698,3075698
124,2021-04-30,2153570,944123,0,3097693,3097693
125,2021-05-01,2170858,944481,0,3115339,3115339
126,2021-05-02,2170858,944481,0,3115339,3115339
127,2021-05-03,2191460,945331,0,3136791,3136791
128,2021-05-04,2214660,986552,0,3201212,3201212
129,2021-05-05,2272655,1041838,0,3309765,3309765
130,2021-05-06,2333926,1100081,0,3424441,3424441
131,2021-05-07,2391483,1158110,0,3535148,3535148
132,2021-05-08,2450316,1216683,0,3647616,3647616
